frame_no,x,y,w,h,center_x,center_y
300,394,278,34,28,411,292
301,397,276,34,27,414,289
302,399,276,34,28,416,290
303,401,277,34,28,418,291
304,403,277,34,28,420,291
305,406,278,34,28,423,292
306,408,278,34,28,425,292
307,410,278,34,28,427,292
308,412,278,34,28,429,292
309,414,278,34,28,431,292
310,416,278,34,28,433,292
311,418,278,34,28,435,292
312,420,278,34,28,437,292
313,422,278,34,28,439,292
314,424,278,34,28,441,292
315,427,279,34,28,444,293
316,428,278,34,28,445,292
317,430,277,34,27,447,290
318,432,277,34,27,449,290
319,434,276,33,27,450,289
320,436,275,33,27,452,288
321,437,275,33,26,453,288
322,439,274,32,27,455,287
323,441,273,32,26,457,286
324,443,273,32,26,459,286
325,445,272,31,26,460,285
326,446,271,31,26,461,284
327,448,271,31,25,463,283
328,450,270,30,25,465,282
329,451,269,30,25,466,281
330,451,269,30,25,466,281
331,452,268,29,25,466,280
332,452,267,29,24,466,279
333,454,266,31,24,469,278
334,454,265,31,24,469,277
335,455,264,31,23,470,275
336,456,263,30,23,471,274
337,457,263,30,23,472,274
338,458,262,30,23,473,273
339,459,262,30,23,474,273
340,459,263,28,23,473,274
341,459,264,27,23,472,275
342,460,265,31,23,475,276
343,461,266,29,23,475,277
344,463,268,27,23,476,279
345,463,269,30,24,478,281
346,462,271,30,24,477,283
347,463,271,30,24,478,283
348,463,271,30,25,478,283
349,464,271,30,25,479,283
350,464,271,30,24,479,283
351,466,271,29,21,480,281
352,466,272,29,22,480,283
353,466,272,29,22,480,283
354,467,272,29,23,481,283
355,467,272,29,23,481,283
356,467,273,29,23,481,284
357,467,273,29,23,481,284
358,468,273,28,23,482,284
359,468,273,27,22,481,284
360,468,274,27,22,481,285
361,469,275,27,22,482,286
362,470,276,27,22,483,287
363,469,276,29,21,483,286
364,469,278,26,22,482,289
365,469,278,26,22,482,289
366,470,279,27,21,483,289
367,470,279,27,21,483,289
368,471,280,27,21,484,290
369,472,281,26,21,485,291
370,471,281,26,21,484,291
371,471,281,26,21,484,291
372,471,281,26,21,484,291
373,472,282,26,21,485,292
374,471,281,25,21,483,291
375,471,280,25,21,483,290
376,470,280,25,21,482,290
377,470,279,25,21,482,289
378,470,279,26,21,483,289
379,468,277,26,21,481,287
380,467,276,26,20,480,286
381,466,275,26,20,479,285
382,465,274,26,20,478,284
383,464,272,25,21,476,282
384,463,270,26,20,476,280
385,462,271,25,20,474,281
386,461,269,25,21,473,279
387,459,268,25,21,471,278
388,457,268,24,21,469,278
389,455,268,24,20,467,278
390,452,268,25,20,464,278
391,450,268,26,20,463,278
392,448,266,24,20,460,276
393,445,265,24,20,457,275
394,441,265,25,21,453,275
395,438,264,25,20,450,274
396,435,265,25,19,447,274
397,431,264,26,19,444,273
398,428,264,25,18,440,273
399,424,264,25,17,436,272
400,421,262,24,20,433,272
401,417,262,23,20,428,272
402,413,261,25,19,425,270
403,408,261,25,19,420,270
404,405,262,24,19,417,271
405,399,261,24,18,411,270
406,394,261,24,17,406,269
407,389,261,24,16,401,269
408,384,262,24,16,396,270
409,380,261,24,16,392,269
410,374,261,23,17,385,269
411,369,261,22,17,380,269
412,362,260,24,17,374,268
413,356,260,24,16,368,268
414,350,260,24,16,362,268
415,343,260,23,16,354,268
416,337,259,22,17,348,267
417,330,259,22,17,341,267
418,323,257,21,17,333,265
419,316,256,21,17,326,264
420,309,257,21,16,319,265
421,300,256,21,16,310,264
422,292,255,21,17,302,263
423,283,254,21,17,293,262
424,275,253,21,18,285,262
425,267,253,21,16,277,261
426,258,253,21,17,268,261
427,249,253,21,17,259,261
428,239,253,21,17,249,261
429,230,254,21,17,240,262
430,220,255,22,18,231,264
431,210,256,20,18,220,265
432,201,255,20,18,211,264
433,188,257,20,18,198,266
434,175,255,20,18,185,264
435,165,254,20,18,175,263
436,159,255,20,18,169,264
437,153,256,20,17,163,264
438,141,255,20,17,151,263
439,129,255,21,17,139,263
440,119,255,20,17,129,263
441,109,254,20,17,119,262
442,97,254,21,17,107,262
443,86,255,21,17,96,263
444,74,255,21,17,84,263
445,62,255,21,17,72,263
446,50,254,21,17,60,262
447,38,254,21,17,48,262
448,25,254,21,16,35,262
449,12,252,21,16,22,260
450,1,252,20,17,11,260
